ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
DZA;Algeria;0;1995;28,105;7010,75;9615,61;1,97E+11;29,1369;10,4541;45,8254;26,456;1007093258;7840920592;283855128;1610276161;8804083683;283855128;567710256;16645004275;2617369419;8,8552;9,1711;78,4146;84,1099;0,0029;0,0014;0,0014
AGO;Angola;0;1995;;1743,97;2391,95;25649000000;;3,6463;60,2852;8,807;420902000;3020110000;11591000;295050161;1159933195;11591000;23182000;4180043195;715952161;7,4639;7,7799;55,7101;60,5263;0,0009;0,0005;0,0005
ARG;Argentina;0;1995;18,904;10192,61;13979,71;3,54E+11;17,9378;17,2467;26,3011;27,096;13221403052;7058262935;7102696139;7753414820;11604390754;7102696139;14205392278;18662653689;20974817872;9,2294;9,5454;85,1822;91,1139;0,0401;0,02;0,02
AUS;Australia;1;1995;8,467;22890,8;31395,93;4,15E+11;25,1602;13,158;26,5103;22,859;21709706891;22667764964;14020471874;15732380852;39582497442;14020471874;28040943748;62250262406;37442087743;10,0385;10,3544;100,7713;107,2143;0,0676;0,0338;0,0338
AUT;Austria;1;1995;4,242;24666,05;33830,79;1,96E+11;25,2991;17,9059;28,8515;32,101;3929142372;49032547658;46967646487;4589763408;57888839020;46967646487;93935292974;1,07E+11;8518905780;10,1132;10,4291;102,2765;108,7667;0,4791;0,2396;0,2396
BLR;Belarus;0;1995;2,896;3981,02;5460,17;40515000000;24,6979;27,9762;33,3822;35,718;178493594;1611707424;1591294656;37329766;1942437277;1591294656;3182589312;3554144701;215823360;8,2893;8,6052;68,7124;74,0501;0,0786;0,0393;0,0393
BEL;Belgium;1;1995;9,683;23593,16;32359,27;2,39E+11;21,3326;18,4468;26,1428;27,546;21208308734;1,54E+11;94909325947;17551562516;1,44E+11;94909325947;1,90E+11;2,98E+11;38759871250;10,0687;10,3847;101,379;107,8411;0,7942;0,3971;0,3971
BOL;Bolivia;0;1995;;2993,81;4106,17;22653000000;15,5335;16,7294;29,1428;20,5;523429604;625078628;181655337;831131686;535006577;181655337;363310674;1160085205;1354561290;8,0043;8,3202;64,0689;69,2265;0,016;0,008;0,008
BRA;Brazil;0;1995;9,9;8224,16;11279,87;1,31E+18;20,2863;14,5423;23,3815;19,59;18521588269;25072098328;24539089624;19151196861;33102633307;24539089624;49078179248;58174731635;37672785130;9,0148;9,3308;81,2672;87,0634;0,0376;0,0188;0,0188
CMR;Cameroon;0;1995;;1715,21;2352,5;23218000000;19,8003;18,2343;25,7856;9,579;298647680;1239925756;101762166;269987899;727884054;101762166;203524332;1967809810;568635579;7,4473;7,7632;55,4621;60,2678;0,0088;0,0044;0,0044
