ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
DZA;Algeria;0;2005;15,265;11125,97;12495,6;3,66E+11;22,3703;;57,334;29,835;7231365787;38751389814;439121101;5219144952;13631740965;439121101;878242202;52383130779;12450510739;9,317;9,4331;86,8072;88,984;0,0024;0,0012;0,0012
AGO;Angola;0;2005;;3512,52;3944,92;69425000000;8,7793;;;8,758;9745344720;13591555015;52512090;3991714424;4317670344;52512090;105024180;17909225359;13737059144;8,1641;8,2802;66,6523;68,5614;0,0015;0,0008;0,0008
ARG;Argentina;0;2005;11,575;14015,81;15741,19;5,41E+11;17,3511;18,3404;28,6263;23,261;26079027620;12543131722;12286393759;17075974567;11084129341;12286393759;24572787518;23627261063;43155002187;9,5479;9,664;91,1632;93,3936;0,0454;0,0227;0,0227
AUS;Australia;1;2005;5,033;36008,48;40441,2;7,31E+11;27,0675;10,3475;24,5838;21,134;55276507384;48909289605;21309793540;56744623998;68222913964;21309793540;42619587080;1,17E+11;1,12E+11;10,4915;10,6076;110,0718;112,5213;0,0583;0,0291;0,0291
AUT;Austria;1;2005;5,65;36829,28;41363,04;3,03E+11;23,0521;17,4078;27,0742;27,575;9527466510;1,04E+11;94873653710;11802720991;1,03E+11;94873653710;1,90E+11;2,07E+11;21330187501;10,514;10,6301;110,5452;112,9999;0,6264;0,3132;0,3132
BLR;Belarus;0;2005;1,704;9948,67;11173,37;96472000000;26,5166;25,3421;37,8388;35,615;1334736200;7469776000;8296025600;864257300;4191859100;8296025600;16592051200;11661635100;2198993500;9,2052;9,3213;84,7356;86,8864;0,172;0,086;0,086
BEL;Belgium;1;2005;8,475;35252,65;39592,33;3,68E+11;22,1575;15,7728;22,4431;24,686;34287253492;2,95E+11;2,48E+11;44892639211;2,68E+11;2,48E+11;4,95E+11;5,63E+11;79179892703;10,4703;10,5864;109,6271;112,0717;1,3444;0,6722;0,6722
BOL;Bolivia;0;2005;8,146;4180,31;4694,92;38147000000;12,9908;11,6269;26,2692;20,388;2023965688;769330926;318094280;1759216403;580952572;318094280;636188560;1350283498;3783182091;8,3381;8,4542;69,5246;71,4741;0,0167;0,0083;0,0083
BRA;Brazil;0;2005;11,4;11054,72;12415,58;2,05E+18;17,0562;14,7383;24,1726;21,445;55874133680;57195431134;61765852056;34342137842;38172621954;61765852056;1,24E+11;95368053088;90216271522;9,3106;9,4267;86,6875;88,8628;0,0604;0,0302;0,0302
CMR;Cameroon;0;2005;;2459,65;2762,44;43884000000;21,6996;15,949;28,0927;9,614;730674608;2101375175;145656579;1489210171;1280673627;145656579;291313158;3382048802;2219884779;7,8078;7,9239;60,9613;62,7877;0,0066;0,0033;0,0033
CAN;Canada;1;2005;6,758;36079,1;40520,52;1,16E+18;21,9075;;;22,049;25007001900;3,35E+11;2,05E+11;72443803612;2,40E+11;2,05E+11;4,10E+11;5,75E+11;97450805512;10,4935;10,6096;110,1129;112,5628;0,3531;0,1765;0,1765
CHL;Chile;0;2005;9,3;15112,64;16973,04;2,44E+11;22,1527;14,2912;36,8592;22,953;18488986017;22907099636;6137878967;18919371848;12494042731;6137878967;12275757934;35401142367;37408357865;9,6233;9,7394;92,6076;94,8556;0,0502;0,0251;0,0251
CHN;China;0;2005;4,2;5060,79;5683,78;6,62E+18;40,4709;32,0939;47,0238;29,618;3,17E+11;4,23E+11;6,99E+11;3,85E+11;2,54E+11;6,99E+11;1,40E+12;6,77E+11;7,02E+11;8,5293;8,6454;72,7486;74,7425;0,2112;0,1056;0,1056
COL;Colombia;0;2005;11,808;8324,62;9349,4;3,57E+11;19,6657;14,1353;30,0086;20,039;8026276631;12699729360;7285379570;10229020044;10420118120;7285379570;14570759140;23119847480;18255296675;9,027;9,1431;81,4862;83,5957;0,0408;0,0204;0,0204
CRI;CostaRica;0;2005;6,63;9892,89;11110,73;41701000000;20,0442;16,9456;24,3762;21,631;2567169210;4561900252;4849789225;3198218325;5919143639;4849789225;9699578450;10481043891;5765387535;9,1996;9,3157;84,6321;86,7816;0,2326;0,1163;0,1163
HRV;Croatia;0;2005;17,583;17173,14;19287,19;76283000000;25,4083;13,2298;24,5781;28,628;777073834;6082894823;6005410402;2316013454;13662681446;6005410402;12010820804;19745576269;3093087288;9,7511;9,8672;95,084;97,3616;0,1575;0,0787;0,0787
CZE;CzechRepublic;0;2005;7,932;22773,8;25577,31;2,32E+11;28,2345;23,0371;34,0837;39,485;3801967303;71516186418;68933542454;8948556687;61431920165;68933542454;1,38E+11;1,33E+11;12750523990;10,0334;10,1495;100,6684;103,0116;0,5936;0,2968;0,2968
DNK;Denmark;1;2005;4,8;38591,88;43342,62;2,09E+11;21,1734;12,0352;22,2395;23,892;6769145526;64101110874;51850833108;10097187872;60543194630;51850833108;1,04E+11;1,25E+11;16866333398;10,5608;10,6769;111,5304;113,996;0,4966;0,2483;0,2483
DOM;DominicanRepublic;0;2005;6,41;8259,84;9276,65;74075000000;22,6126;18,3817;28,1447;23,39;506835221;5673535091;4961853169;3632843266;6207892248;4961853169;9923706338;11881427339;4139678487;9,0192;9,1353;81,3453;83,4529;0,134;0,067;0,067
ECU;Ecuador;0;2005;7,095;7672,06;8616,51;1,05E+11;20,4224;15,7118;31,5446;18,526;3162521370;6379883846;721441633;6025691246;3461453889;721441633;1442883266;9841337735;9188212616;8,9453;9,0614;80,0191;82,1096;0,0137;0,0069;0,0069
