ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
DZA;Algeria;0;2000;29,496;8282,59;10449,54;2,53E+11;20,6772;7,0498;54,3715;24,484;3685851959;18291013361;318438939;1440608525;7266545146;318438939;636877878;25557558507;5126460484;9,0219;9,2543;81,3949;85,6423;0,0025;0,0013;0,0013
AGO;Angola;0;2000;;2196,07;2770,62;37442000000;28,1493;2,8902;72,123;8,596;2638054000;5044393000;10294000;1121446752;1869508385;10294000;20588000;6913901385;3759500752;7,6944;7,9268;59,2042;62,8346;0,0005;0,0003;0,0003
ARG;Argentina;0;2000;17,134;11897,89;15010,7;4,38E+11;16,1927;16,4943;25,9909;22,776;16918747764;8819495935;8531067823;12002800740;12476358198;8531067823;17062135646;21295854133;28921548504;9,3841;9,6165;88,0616;92,4774;0,039;0,0195;0,0195
AUS;Australia;1;2000;6,283;28903,92;36465,96;5,53E+11;26,0089;11,599;24,6496;21,615;31064029024;31289748221;14813538082;26862678680;44642550507;14813538082;29627076164;75932298728;57926707704;10,2717;10,5041;105,5085;110,3368;0,0536;0,0268;0,0268
AUT;Austria;1;2000;3,883;30839,34;38907,74;2,47E+11;25,6117;18,215;28,2848;30,025;4669984462;57686048687;50469876668;5688993846;60811972538;50469876668;1,01E+11;1,18E+11;10358978308;10,3365;10,5689;106,8442;111,7027;0,4085;0,2043;0,2043
BLR;Belarus;0;2000;2,115;5985,24;7551,14;59793000000;25,2015;27,0435;33,4789;36,101;665193900;2233839800;4752180300;355252000;2111636100;4752180300;9504360600;4345475900;1020445900;8,6971;8,9295;75,6387;79,7351;0,159;0,0795;0,0795
BEL;Belgium;1;2000;6,858;29263,84;36920,04;3,00E+11;22,49;17,4586;24,8219;26,3;19115432131;1,66E+11;1,33E+11;23065695263;1,52E+11;1,33E+11;2,67E+11;3,18E+11;42181127394;10,2841;10,5165;105,7629;110,597;0,8898;0,4449;0,4449
BOL;Bolivia;0;2000;7,462;3497,28;4412,26;29166000000;17,8875;13,2411;25,739;18,694;619203582;602039496;282221559;1164184667;682501768;282221559;564443118;1284541264;1783388249;8,1597;8,3921;66,5814;70,4281;0,0194;0,0097;0,0097
BRA;Brazil;0;2000;13,9;9108,01;11490,91;1,58E+18;18,3045;13,1347;23,0066;20,233;20610025913;33062714632;31619401348;21741338090;33359199915;31619401348;63238802696;66421914547;42351364003;9,1169;9,3493;83,118;87,4096;0,04;0,02;0,02
CMR;Cameroon;0;2000;;2028,43;2559,12;31523000000;19,6369;17,7414;29,9151;9,689;525578886;1288242124;74308005;545517903;925330293;74308005;148616010;2213572417;1071096789;7,615;7,8474;57,9885;61,582;0,0047;0,0024;0,0024
CAN;Canada;1;2000;6,833;29723,39;37499,83;9,11E+11;19,6648;;;22,475;14166740025;2,63E+11;1,75E+11;37966455300;2,02E+11;1,75E+11;3,51E+11;4,65E+11;52133195325;10,2997;10,5321;106,0836;110,925;0,385;0,1925;0,1925
CHL;Chile;0;2000;9,708;11241,98;14183,19;1,73E+11;21,0276;16,8798;31,4223;23,394;7193767125;10631612523;2796071392;8612059616;7726894636;2796071392;5592142784;18358507159;15805826741;9,3274;9,5598;87,0006;91,39;0,0323;0,0162;0,0162
CHN;China;0;2000;3,1;2918,21;3681,69;3,70E+18;33,434;;45,5373;28,121;1,02E+11;1,44E+11;2,19E+11;1,11E+11;1,07E+11;2,19E+11;4,39E+11;2,51E+11;2,13E+11;7,9787;8,2111;63,6601;67,4226;0,1186;0,0593;0,0593
COL;Colombia;0;2000;13,325;6602,97;8330,48;2,66E+11;14,1293;13,9327;27,3058;18,121;4071818128;8907910032;4173627047;4320598063;6930374542;4173627047;8347254094;15838284574;8392416191;8,7953;9,0277;77,3569;81,4989;0,0314;0,0157;0,0157
CRI;CostaRica;0;2000;5,193;8066,65;10177,1;30735000000;19,774;18,3961;25,5524;22,406;1092192588;4383471320;3514255038;2151330627;3828717843;3514255038;7028510076;8212189163;3243523215;8,9955;9,2279;80,9189;85,1541;0,2287;0,1143;0,1143
HRV;Croatia;0;2000;20,592;12441,82;15696,94;54508000000;19,9473;14,7988;24,4184;28,875;399901177;3288039212;3216252500;807360357;6183827916;3216252500;6432505000;9471867128;1207261534;9,4288;9,6612;88,9026;93,3392;0,118;0,059;0,059
CZE;CzechRepublic;0;2000;8,757;16608,53;20953,76;1,71E+11;30,5933;23,6131;33,8749;39,945;1376628619;26736833226;25692950583;2380996518;26986680704;25692950583;51385901166;53723513930;3757625137;9,7177;9,9501;94,4331;99,004;0,301;0,1505;0,1505
DNK;Denmark;1;2000;4,317;32644,68;41185,4;1,74E+11;21,5076;14,1449;23,6527;25,338;3939216975;40576787913;31503224462;4759539505;38551931861;31503224462;63006448924;79128719774;8698756480;10,3934;10,6258;108,0235;112,9085;0,3621;0,1811;0,1811
DOM;DominicanRepublic;0;2000;6,343;6623,43;8356,29;55622000000;25,0444;20,9749;29,5875;24,339;258216223;5478498760;4804328898;2762237382;6666932272;4804328898;9608657796;12145431032;3020453605;8,7984;9,0308;77,4113;81,5548;0,1727;0,0864;0,0864
ECU;Ecuador;0;2000;7,625;5901,13;7445,03;73948000000;19,0148;31,4005;33,6176;19,353;1974763702;2614736905;413656543;1796246079;1555671162;413656543;827313086;4170408067;3771009781;8,6829;8,9153;75,3927;79,4826;0,0112;0,0056;0,0056
SLV;ElSalvador;0;2000;7;5042,08;6361,23;29597000000;17,683;19,5329;26,8777;24,234;909149745;2004338891;2038191407;2103167371;2803111112;2038191407;4076382814;4807450003;3012317116;8,5256;8,758;72,6854;76,7022;0,1377;0,0689;0,0689
EST;Estonia;1;2000;14,602;12113,49;15282,7;16974000000;26,6164;15,4537;24,8388;34,992;132234000;3326003924;2774945493;356793198;3504744952;2774945493;5549890986;6830748876;489027198;9,4021;9,6345;88,399;92,8231;0,327;0,1635;0,1635
