ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
ISR;Israel;1;2005;11,2;23440,69;26326,29;1,62E+11;19,0088;14,4737;20,5694;21,587;9645565000;30768364000;19323541000;11106917107;31623727204;19323541000;38647082000;62392091204;20752482107;10,0622;10,1783;101,2484;103,5983;0,238;0,119;0,119
ISR;Israel;1;2010;8,25;28997,4;29595,99;2,21E+11;18,8858;13,8193;20,4195;20,219;17965649000;36970403000;38191127000;18444769175;37498962117;38191127000;76382254000;74469365117;36410418175;10,275;10,2954;105,5748;105,9951;0,3456;0,1728;0,1728
ISR;Israel;1;2015;5,275;34116,85;32038,7;2,86E+11;18,9087;11,7751;18,8023;17,714;21362543000;37681867000;42312376000;21657079880;38404244831;42312376000;84624752000;76086111831;43019622880;10,4375;10,3747;108,9424;107,6344;0,2961;0,1481;0,1481
ITA;Italy;1;1995;11,15;23864,8;32731,84;1,36E+18;19,1304;18,8746;26,2955;33,662;41806771640;1,76E+11;2,06E+11;33147809960;1,5E+11;2,06E+11;4,11E+11;3,27E+11;74954581600;10,0802;10,3961;101,6096;108,079;0,3031;0,1515;0,1515
ITA;Italy;1;2000;10,1;28601,61;36084,56;1,63E+18;20,4316;17,5113;24,3192;31,788;40745404821;1,91E+11;2,12E+11;46183338980;1,75E+11;2,12E+11;4,24E+11;3,66E+11;86928743801;10,2612;10,4936;105,2926;110,1161;0,2607;0,1303;0,1303
ITA;Italy;1;2005;7,7;33004,03;37066,9;1,92E+18;21,1578;15,5384;23,2957;30,684;65405911523;2,9E+11;3,17E+11;85798406609;2,64E+11;3,17E+11;6,34E+11;5,54E+11;1,51E+11;10,4044;10,5205;108,2512;110,6805;0,3309;0,1654;0,1654
ITA;Italy;1;2010;8,333;34767,34;35485,05;2,08E+18;19,9438;14,2273;21,9248;28,608;99154343209;3,22E+11;3,65E+11;1,4E+11;3,09E+11;3,65E+11;7,3E+11;6,32E+11;2,39E+11;10,4564;10,4769;109,337;109,7647;0,3516;0,1758;0,1758
ITA;Italy;1;2015;11,917;36025,5;33831,09;2,19E+18;16,9308;14,3941;21,1766;26,6;1,05E+11;3,32E+11;3,78E+11;1,03E+11;2,76E+11;3,78E+11;7,56E+11;6,08E+11;2,08E+11;10,492;10,4291;110,0817;108,7669;0,3452;0,1726;0,1726
JAM;Jamaica;0;1995;16,2;6338,03;8692,94;15605000000;24,9174;12,2329;27,4616;20,212;154167708;1229970753;400318764;623511858;2032357574;400318764;800637528;3262328327;777679566;8,7543;9,0703;76,6382;82,2697;0,0513;0,0257;0,0257
JAM;Jamaica;0;2000;15,5;6511,59;8215,2;16814000000;23,205;9,3459;22,5635;16,994;111955493;1195242436;269821480;1013939698;2079567783;269821480;539642960;3274810219;1125895191;8,7813;9,0137;77,1119;81,2475;0,0321;0,016;0,016
JAM;Jamaica;0;2005;11,225;7609,76;8546,54;20411000000;26,7353;7,7515;21,9007;17,769;318728308;1174037019;102891790;2001952305;2807480190;102891790;205783580;3981517209;2320680613;8,9372;9,0533;79,8733;81,9619;0,0101;0,005;0,005
JAM;Jamaica;0;2010;12,375;8074,87;8241,56;22137000000;19,902;7,7411;17,9776;15,918;159168121;1109505633;157265679;2582264502;2548217195;157265679;314531358;3657722828;2741432623;8,9965;9,0169;80,9372;81,3053;0,0142;0,0071;0,0071
