ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
DZA;Algeria;0;2015;11,214;14581,02;13692,85;5,83E+11;42,16;5,4161;35,6603;47,595;8206066289;26544975545;1092985451;20034306537;30488910103;1092985451;2185970902;57033885648;28240372826;9,5875;9,5246;91,9197;90,7186;0,0038;0,0019;0,0019
AGO;Angola;0;2015;;6955,33;6531,66;1,85E+11;9,5523;;;8,927;21957311009;10842463451;;11847153881;8662317727;;;19504781178;33804464890;8,8473;8,7844;78,2741;77,166;;;
ARG;Argentina;0;2015;;20491,79;19243,58;8,84E+11;15,5647;14,1816;23,1531;23,751;39363054913;15733770589;15986937864;37516217146;20840290117;15986937864;31973875728;36574060706;76879272059;9,9278;9,8649;98,5608;97,3169;0,0362;0,0181;0,0181
AUS;Australia;1;2015;6,058;47961,77;45040,29;1,15E+18;26,0606;6,3071;23,549;19,454;1,23E+11;57393779967;25277413508;1,11E+11;83371301740;25277413508;50554827016;1,41E+11;2,35E+11;10,7782;10,7153;116,1687;114,8179;0,0439;0,0219;0,0219
AUT;Austria;1;2015;5,733;47327,87;44445;4,08E+11;22,5202;16,5587;25,0273;25,764;16809585936;1,20E+11;1,19E+11;20052457241;1,20E+11;1,19E+11;2,39E+11;2,41E+11;36862043177;10,7649;10,702;115,8821;114,533;0,5849;0,2924;0,2924
BLR;Belarus;0;2015;0,912;18341,98;17224,72;1,74E+11;28,6543;20,6443;32,6923;32,407;2996505500;8760941700;12902853200;4454012200;6814582900;12902853200;25805706400;15575524600;7450517700;9,8169;9,7541;96,3725;95,1425;0,1484;0,0742;0,0742
BEL;Belgium;1;2015;8,517;44200,66;41508,27;4,97E+11;23,1521;12,8348;19,8569;21,434;61308288294;3,28E+11;2,83E+11;70835308246;2,89E+11;2,83E+11;5,65E+11;6,17E+11;1,32E+11;10,6965;10,6336;114,415;113,0745;1,1385;0,5692;0,5692
BOL;Bolivia;0;2015;4;6955,18;6531,52;74592000000;21,3711;10,1912;25,2024;22,528;6363598541;2352230884;386784137;7002838693;2750968412;386784137;773568274;5103199296;13366437234;8,8472;8,7844;78,2737;77,1656;0,0104;0,0052;0,0052
BRA;Brazil;0;2015;8,3;15769,5;14808,93;3,22E+18;17,8358;10,5209;19,3598;22,159;1,17E+11;69151875253;69169933429;92572889749;75884987907;69169933429;1,38E+11;1,45E+11;2,09E+11;9,6658;9,603;93,4283;92,2173;0,0429;0,0215;0,0215
CMR;Cameroon;0;2015;;3461,03;3250,21;79976000000;23,0474;14,6631;25,1818;9,17;2213481246;1830624075;294808863;3850189946;2131759612;294808863;589617726;3962383687;6063671192;8,1493;8,0865;66,4114;65,3911;0,0074;0,0037;0,0037
