Processo;Beneficiario;ano_GD_ben;Titulo_Processo;Area;UF_ Destino;PQ;Ano Lattes;Papers ;Papers_no_tema;Livros;Livros_tema;Capitulos;Capítulos tema;IC;IC_tema;GM;GM_tema;GD;GD_tema;ultima_prod_tema;ultima_ orient_tema;Tese;Orientador;Producoes;Producoes_tema;Orientacoes;Orientacoes_tema ;IES_GD;IES_Vinculo;prod_Geral;prdo_Tema;orient_Geral;orient_Tema;Prod_total;Orient_total
402932/2005-6;Elisa Guaraná de Castro;2005;"""As Jovens Rurais e a Reproducao Social das Hierarquias : relacoes de genero na construcao da categoria juventude rural em Movimentos Sociais no Brasil"".";Antropologia;RJ;;2018;4;0;4;0;19;3;9;1;5;2;3;0;2008;2013; Entre Ficar e Sair: uma etnografia da construção social da categoria jovem rural;Moacir Gracindo Soares Palmeira;6;0;0;0;UFRRJ;UFRRJ;27;3;17;3;33;3
403223/2005-9;Elisabete Stradiotto Siqueira;1999;A contribuicao da lideranca feminina para os processos de governanca corporativa no terceiro setor;Administração;SC;;2018;50;3;7;0;30;5;12;2;18;0;0;0;2014;2011; A produção da casa na construção do sonho: o papel das ONGs na gestão de recursos públicos/privados de habitação,;Maria de Lourdes Manzini Covre;25;0;16;0;PUC/SP;UFERSA;87;8;30;2;112;18
403272/2005-0;Enilce do Carmo Albergaria Rocha;2001;Diálogos e convergências na escrita de autoria feminina em paises da Africa e da diaspora africana no Brasil;Letras;MG;;2018;8;1;6;1;12;0;13;9;11;0;6;2;2013;2013;A utopia do diverso: o pensamento glissantiano nas escritas de Edouard Glissant e Mla Couto;Benjamin Abdala Júnior;3;0;2;1;USP;UFJF;26;2;30;11;29;13
403097/2005-3;Enilda Rosendo do Nascimento;2000;Genero, racismo e acesso/utilizacao de servicos de saude;Enfermagem;BA;;2017;29;23;1;1;5;4;13;13;11;11;1;1;2015;2014;ASSISTÊNCIA DE ENFERMAGEM NA PERSPECTIVA DE GÊNERO: Concepções de Mulheres em um Centro de Saúde de Salvador - Bahia;Lana Lage da Gama Lima;10;6;8;8;UFRJ;UFBA;35;28;25;25;45;33
403077/2005-2;Fernanda Marques de Queiroz;2005;Politicas publicas de prevencao e combate a violencia contra a mulher no Estado do Rio Grande do Norte;Serviço Social;RN;;2018;8;7;5;5;8;8;8;8;2;2;0;0;2018;2017;Rimando amor e dor: representações sociais sobre violência conjugal;Maria de Fátima de Sousa Santos;0;0;0;0;UFPE;UERN;21;20;10;10;21;10
402987/2005-5;Gema Galgani Silveira Leite Esmeraldo;2004;Cartografia de Lugares e Tempos Sexuados nos Assentamentos Rurais: Escavando Rupturas a Ordem Binaria;Economia Doméstica;CE;;2018;17;5;6;1;30;11;7;2;25;9;0;0;2018;2018;O MST sob o signo de uma economia subjetiva. O Assentamento José Lourenço;Daniel Soares Lins;0;0;0;0;UFC;UFC;53;17;32;11;53;11
403040/2005-1;Heloisa Buarque de Almeida;2001;De Mulher a Malu: genero nos seriados da TV brasileira;Antropologia;SP;PQ-2;2018;10;6;2;1;11;9;16;13;12;8;4;3;2017;2016;"""Muitas mais coisas"": telenovela, consumo e gênero";Guita Grin Debert;10;7;2;2;UNICAMP;USP;23;16;32;24;33;26
403177/2005-7;Inês Assunção de Castro Teixeira;1998;Mulheres e docencias nas Minas Gerais: genero, poder, tempo e historia;Educação;MG;PQ-2;2018;24;2;21;3;32;5;23;4;8;5;18;6;2018;2017;Tempos enredados: teias da condição professor;Miguel González Arroyo;23;7;19;1;UFMG;UFMG;77;10;49;15;100;34
403165/2005-9;Isabel Lausanne Fontgalland;1999;Consequencias recentes de um novo padrao de insercao das mulheres no mercado de trabalho formal sobre o bem-estar na regiao do agreste paraibano: a experiencia de Campina Grande;Economia;PB;;2018;1;1;3;1;1;0;10;4;1;0;0;0;2016;2010;Contribution a l'étude de la formation ouvrière dans un contexte d'organisation flexible: L'exemple des UET chez Renault;Alain Alcouffe;15;2;7;0;Université de Sciences Sociales de Toulouse 1;UFCG;5;2;11;4;20;11
403174/2005-8;Ivaine Maria Tonini;2002;Lugares de mulheres no mercado de trabalho em Fortaleza/Ce - sua configuracao pela midia;Geografia;RS;;2018;13;0;15;1;27;4;3;1;17;2;3;0;2017;2017;Identidades Capturadas - gênero, geração e etnia na hierarquia territorial dos livros didáticos de Geografia;Marisa Cristina Vorraber Costa;10;2;3;0;UFRGS;UFRGS;55;5;23;3;65;6
